,0
1566777475035_07e1462dd366e74eb_98563549,"{""day"":""25"",""month"":""Aug"",""year"":""2019"",""hour"":""19"",""minutes"":""57"",""seconds"":""55"",""milliseconds"":""035"",""severity"":""INFO"",""class"":""Retry"",""method"":""retryRun"",""status"":""100006"",""api-name"":""partner-notification-addons"",""errmsg"":""retrySkipLogic : false"",""document_id"":""1566777475035_07e1462dd366e74eb_98563549"",""application_name"":""wmt_addons"",""customer_index_name"":""card_asvpartnerservicing_partnernotification_app-td"",""hostname"":""ip-106-6-145.dqa.capitalone.com"",""fluent_time"":""2019-08-25T23:57:55.035794518+0000""}"
1566777485886_07e1462dd366e74eb_73349639,"{""day"":""25"",""month"":""Aug"",""year"":""2019"",""hour"":""19"",""minutes"":""58"",""seconds"":""05"",""milliseconds"":""885"",""severity"":""INFO"",""class"":""VaultRetry"",""method"":""retryRun"",""status"":""100006"",""api-name"":""partner-notification-addons"",""errmsg"":""vaultRetrySkipLogic : false"",""document_id"":""1566777485886_07e1462dd366e74eb_73349639"",""application_name"":""wmt_addons"",""customer_index_name"":""card_asvpartnerservicing_partnernotification_app-td"",""hostname"":""ip-106-6-145.dqa.capitalone.com"",""fluent_time"":""2019-08-25T23:58:05.886056827+0000""}"
1566777487049_07e1462dd366e74eb_19024778,"{""day"":""25"",""month"":""Aug"",""year"":""2019"",""hour"":""19"",""minutes"":""58"",""seconds"":""07"",""milliseconds"":""049"",""severity"":""INFO"",""class"":""Retry"",""method"":""retryRun"",""status"":""100006"",""api-name"":""partner-notification-addons"",""errmsg"":""retrySkipLogic : false"",""document_id"":""1566777487049_07e1462dd366e74eb_19024778"",""application_name"":""wmt_addons"",""customer_index_name"":""card_asvpartnerservicing_partnernotification_app-td"",""hostname"":""ip-106-6-145.dqa.capitalone.com"",""fluent_time"":""2019-08-25T23:58:07.049613804+0000""}"
